
Illinois,132.394,98.7588,0.966775,24-7,24,31,55,47.5,33.3,19.8,13.4,11.7,39.1,26.9,65.6559,57.8,47.5,34.9,31.7,0,0,51.4,51.1,50.9,41.5,65.6559,,,,2026,,,,6.87928,79.3,
LIU,103.99,109.775,0.349201,23-10,23,33,53.1,49.7,34.1,34.5,19.3,19.1,34.7,33,67.8164,52.8,50.9,35.8,31.5,0,0,49.6,48.8,29.3,33.6,67.8164,,,,2026,,,,-5.67273,67.3,
UTEP,101.714,110.318,0.28215,11-20,11,31,48.3,51.5,33.4,42,17.4,18,26.2,32.8,65.2033,46.5,51.9,33.9,34,0,0,48,52.7,40.3,37.5,65.2033,,,,2026,,,,-14.7128,70.4,
"Loyola Chicago",103.601,113.519,0.258953,8-23,8,31,49.6,52.4,34.6,33.6,19.7,13.1,30.5,30.2,65.9671,51.6,49.4,31.6,37.5,0,0,60.3,61.6,47.6,44,65.9671,,,,2026,,,,-15.2991,67.5,
Texas,125.539,107.17,0.860489,18-13,18,31,54.6,51.3,46.2,41,15.2,13.7,36.1,27.1,66.9196,55.9,49.6,34.9,36.4,0,0,42.6,46.4,36.1,33.9,66.9196,,,,2026,,,,0.365604,75,
"Maryland Eastern Shore",93.4313,116.152,0.0756286,9-22,9,31,47.8,50.5,28.9,43,23.8,17.9,32,33.6,63.2652,49.9,51,29.1,33.2,0,0,57,56.7,33.3,39.9,63.2652,,,,2026,,,,-16.5485,70.5,
"Western Illinois",93.4641,123.624,0.0385628,5-26,5,31,44.5,54.2,37.7,34.8,17.5,14.9,27,34.8,66.4711,43.5,54.6,30.9,35.6,0,0,37,49.9,33.3,34.6,66.4711,,,,2026,,,,-22.9323,66.2,
"Fairleigh Dickinson",101.315,119.241,0.133135,11-21,11,32,47.1,55.2,32.8,36.3,18.1,16.1,32,27.3,64.0533,48.6,54.1,30.3,37.8,0,0,51,51.3,45.2,40.5,64.0533,,,,2026,,,,-16.6091,70.1,
Cornell,120.262,118.904,0.532595,15-12,15,27,58.8,55.6,31,37.8,16.2,15.2,29.4,29.9,71.7323,59.7,55.3,38.7,37.4,0,0,66.2,56.6,51.5,38.2,71.7323,,,,2026,,,,-7.452,74.3,
"West Virginia",109.959,97.7365,0.794957,18-13,18,31,51.3,48.2,35.3,29.6,17,18,30.9,28.5,62.5006,52.7,45.5,33,35,0,0,53.4,56,42.9,38.4,62.5006,,,,2026,,,,-1.46533,67.9,
