Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
176,Northern Kentucky,Horz,20-14,-0.59,109.7,110.3,70.2,-0.022,-4.04,110.5,114.5,-3.74,1297.0,2026
177,Oregon St.,WCC,17-16,-0.6,109.4,110.0,65.1,0.097,3.5,110.7,107.2,-1.32,1333.0,2026
178,CSUN,BW,19-13,-0.62,108.3,108.9,73.8,0.078,-0.09,108.6,108.7,1.31,1169.0,2026
179,Monmouth,CAA,19-14,-0.88,106.4,107.2,67.1,0.023,-2.54,107.5,110.0,-3.34,1284.0,2026
180,Kennesaw St.,CUSA,18-13,-0.99,109.9,110.9,71.4,-0.009,-2.27,108.5,110.8,-5.06,1244.0,2026
181,Campbell,CAA,16-18,-1.41,111.5,112.9,69.8,0.009,1.17,109.7,108.5,8.04,1144.0,2026
182,Montana,BSky,17-15,-1.46,107.5,109.0,69.4,0.041,0.13,111.0,110.8,5.8,1285.0,2026
183,Queens,ASun,21-13,-1.49,116.0,117.5,69.7,0.067,-5.36,108.8,114.1,5.96,,2026
184,Utah Tech,WAC,18-14,-1.55,111.0,112.6,66.0,0.096,1.17,108.0,106.9,4.06,1469.0,2026
185,New Mexico St.,CUSA,15-15,-1.69,110.2,111.8,66.9,-0.068,-1.24,108.5,109.7,1.06,1308.0,2026
186,Tennessee St.,OVC,23-9,-1.8,109.4,111.2,70.3,0.07,-7.9,103.7,111.6,5.97,1398.0,2026
187,Furman,SC,22-12,-1.9,107.8,109.7,65.9,0.01,-5.87,108.6,114.5,-0.23,1202.0,2026
188,Mercer,SC,19-13,-1.92,112.1,114.0,69.0,-0.021,-4.99,108.7,113.7,4.33,1273.0,2026
189,Columbia,Ivy,16-12,-1.92,108.8,110.8,66.7,0.012,-3.09,108.5,111.6,-5.05,1162.0,2026
190,FIU,CUSA,15-16,-1.95,107.7,109.7,71.8,-0.039,-0.92,109.1,110.0,0.24,1198.0,2026
191,New Orleans,Slnd,15-18,-2.15,109.9,112.1,69.8,0.038,0.94,108.8,107.9,14.52,1309.0,2026
192,Charlotte,Amer,15-16,-2.25,112.8,115.0,63.4,0.01,0.42,109.7,109.3,-0.44,1150.0,2026
193,Appalachian St.,SB,19-13,-2.38,106.1,108.5,63.0,0.015,-5.24,107.4,112.6,-3.05,1111.0,2026
194,Weber St.,BSky,16-16,-2.6,111.8,114.4,68.6,-0.031,-1.56,108.8,110.4,-0.73,1451.0,2026
195,Drake,MVC,14-20,-2.61,110.2,112.9,67.3,-0.06,2.41,109.8,107.4,-3.76,1179.0,2026
196,Siena,MAAC,22-11,-2.68,107.6,110.3,64.6,0.002,-9.4,103.3,112.7,-7.41,1373.0,2026
